PRICE LIST,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
E CODE,PRICE,UPDATE DATE,PRODUCT NAME,PROV,CATEGORY,SUB CATEGORY,SIZE
60,2.1,2004-01-01 00:00:00,"MEDIUM BASKET 6"" OPEN XMAS & DEC  W/ HANDLE",POTS  / GIFTWARES COMPANY,PRODUCTION HARD GOODS,VASES,UNID
66,3.75,9/28/2017,"MEDIUM BASKET 6"" OPEN SUMMER",DELAWARE VALLEY WHOLESALE,PRODUCTION HARD GOODS,BASKET,UNID
66,2,2012-11-01 00:00:00,"MEDIUM BASKET 6"" OPEN SUMMER","HILL'S IMPORTS, INC.",PRODUCTION HARD GOODS,BASKET,UNID
66,1.75,2004-02-01 00:00:00,"MEDIUM BASKET 6"" OPEN SUMMER",MULTI PACKAGING SOLUTION / THE JOHN HENRY,PRODUCTION HARD GOODS,BASKET,UNID
66,2.25,3/20/2012,"MEDIUM BASKET 6"" OPEN SUMMER",POTS  / GIFTWARES COMPANY,PRODUCTION HARD GOODS,BASKET,UNID
72,0.179,9/15/2022,CATTAILS SMALL PENCIL DARK BROWN  PK 4000,BERKELEY,PRODUCTION HARD GOODS,DRY FLOWERS,UNID
72,0.029,10/14/2014,CATTAILS SMALL PENCIL DARK BROWN  PK 4000,FLORA SOURCE,PRODUCTION HARD GOODS,DRY FLOWERS,UNID
72,0.025,10/13/2013,CATTAILS SMALL PENCIL DARK BROWN  PK 4000,KNUD NIELSEN COMPANY,PRODUCTION HARD GOODS,DRY FLOWERS,UNID
72,0.03,10/23/2007,CATTAILS SMALL PENCIL DARK BROWN  PK 4000,SECOND NATURE DESIGN LIMITED,PRODUCTION HARD GOODS,DRY FLOWERS,UNID
75,0.125,10/14/2011,CURLY TING TING SILVER SPARKLE,BERKELEY,PRODUCTION HARD GOODS,DRY FLOWERS,UNID
75,0.186,11/22/2004,CURLY TING TING SILVER SPARKLE,FLORA SOURCE,PRODUCTION HARD GOODS,DRY FLOWERS,UNID
75,0.125,2019-09-08 00:00:00,CURLY TING TING SILVER SPARKLE,WONG WHOLESALE,PRODUCTION HARD GOODS,DRY FLOWERS,UNID
76,2.5,2013-10-08 00:00:00,CURLY TING TING NATURAL,DELAWARE VALLEY WHOLESALE,PRODUCTION HARD GOODS,DRY FLOWERS,POUN
77,4.9984,9/13/2013,WHEAT TRITICUM NATURAL PK 50 / 60-70 ST,DELAWARE VALLEY WHOLESALE,PRODUCTION HARD GOODS,DRY FLOWERS,BOX
77,0.0528,2019-12-11 00:00:00,WHEAT TRITICUM NATURAL PK 50 / 60-70 ST,FLORA SOURCE,PRODUCTION HARD GOODS,DRY FLOWERS,BOX
77,0.025,10/28/2010,WHEAT TRITICUM NATURAL PK 50 / 60-70 ST,GARDEN STATE FOLIAGE LLC,PRODUCTION HARD GOODS,DRY FLOWERS,BOX
77,96,10/23/2020,WHEAT TRITICUM NATURAL PK 50 / 60-70 ST,KNUD NIELSEN CO,PRODUCTION HARD GOODS,DRY FLOWERS,BOX
77,0.0163,10/13/2013,WHEAT TRITICUM NATURAL PK 50 / 60-70 ST,KNUD NIELSEN COMPANY,PRODUCTION HARD GOODS,DRY FLOWERS,BOX
77,0.035,10/23/2007,WHEAT TRITICUM NATURAL PK 50 / 60-70 ST,SECOND NATURE DESIGN LIMITED,PRODUCTION HARD GOODS,DRY FLOWERS,BOX
82,0.15,6/17/2021,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,ACORN,PERSONAL SUPPLIES,GLOVES,UNID
82,0.032,2024-11-01 00:00:00,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,ALLURE HOSPITALITY SUPPLIERS INC,PERSONAL SUPPLIES,GLOVES,UNID
82,0.077,2010-04-03 00:00:00,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,CALIFORNIA PACKAGING - CALIFORNIA,PERSONAL SUPPLIES,GLOVES,UNID
82,0.077,2012-12-06 00:00:00,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,CALIFORNIA PACKAGING - NEW JERSEY,PERSONAL SUPPLIES,GLOVES,UNID
82,0.1225,9/30/2020,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,DPS / MAC PAPERS,PERSONAL SUPPLIES,GLOVES,UNID
82,0.0359,11/13/2023,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,"PACIFIC PACKAGING PRODUCTS, INC.",PERSONAL SUPPLIES,GLOVES,UNID
82,0.077,2006-06-04 00:00:00,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,SALESMASTER CORPORATION,PERSONAL SUPPLIES,GLOVES,UNID
82,0.095,2005-07-04 00:00:00,GLOVES BLUE NITRILE GRIPSTRONG LARGE PK 1000,TRIANGLE IND SUPPLIES CORP,PERSONAL SUPPLIES,GLOVES,UNID
84,15.5,3/26/2024,4*3 LABEL THERMAL TRANSFER WHITE E/1870,ACORN,PRODUCTION HARD GOODS,LABEL,ROLL
84,11.325,2005-09-05 00:00:00,4*3 LABEL THERMAL TRANSFER WHITE E/1870,BOXMAN CORRUGARED PAPER CTD,PRODUCTION HARD GOODS,LABEL,ROLL
84,12,2013-03-03 00:00:00,4*3 LABEL THERMAL TRANSFER WHITE E/1870,CALIFORNIA PACKAGING - CALIFORNIA,PRODUCTION HARD GOODS,LABEL,ROLL
84,14.6,2018-09-08 00:00:00,4*3 LABEL THERMAL TRANSFER WHITE E/1870,DPS / MAC PAPERS,PRODUCTION HARD GOODS,LABEL,ROLL
84,16.6,2023-05-09 00:00:00,4*3 LABEL THERMAL TRANSFER WHITE E/1870,"LABEL IT EXPRESS, INC.",PRODUCTION HARD GOODS,LABEL,ROLL
84,25,2025-01-03 00:00:00,4*3 LABEL THERMAL TRANSFER WHITE E/1870,ULINE,PRODUCTION HARD GOODS,LABEL,ROLL
85,12.96,2005-10-05 00:00:00,4*3 LABEL THERMAL TRANSFER YELLOW E/O 2000,BOXMAN CORRUGARED PAPER CTD,PRODUCTION HARD GOODS,LABEL,ROLL
85,14.5,2013-03-06 00:00:00,4*3 LABEL THERMAL TRANSFER YELLOW E/O 2000,CALIFORNIA PACKAGING - CALIFORNIA,PRODUCTION HARD GOODS,LABEL,ROLL
85,14.6,2018-09-08 00:00:00,4*3 LABEL THERMAL TRANSFER YELLOW E/O 2000,DPS / MAC PAPERS,PRODUCTION HARD GOODS,LABEL,ROLL
85,18.9,12/19/2022,4*3 LABEL THERMAL TRANSFER YELLOW E/O 2000,"LABEL IT EXPRESS, INC.",PRODUCTION HARD GOODS,LABEL,ROLL
